Timestamp;Parked;Latitude;Longitude;Speed;DestinationLatitude;DestinationLongitude;EnteredGeofence
2018-05-21 07:44:52.0;NO;-265,9517;-146,6883;0;-256,832;-78,1083;NULL
2018-05-21 07:45:12.0;NO;-266,13;-146,495;12,505897;-256,832;-78,1083;NULL
2018-05-21 07:45:32.0;NO;-266,4133;-145,8933;13,363835;-256,832;-78,1083;NULL
2018-05-21 07:45:52.0;NO;-266,7233;-145,3433;0;-256,832;-78,1083;NULL
2018-05-21 07:46:12.0;NO;-266,9017;-144,9883;10,845609;-256,832;-78,1083;NULL
2018-05-21 07:46:32.0;NO;-267,085;-144,625;0;-256,832;-78,1083;NULL
2018-05-21 07:47:12.0;NO;-267,6183;-143,43;0;-256,832;-78,1083;NULL
2018-05-21 07:47:32.0;NO;-267,6183;-143,43;0;-256,832;-78,1083;NULL
2018-05-21 07:47:52.0;NO;-268,0683;-142,1983;33,326206;-256,832;-78,1083;NULL
2018-05-21 07:48:12.0;NO;-268,4983;-140,745;12,20571;-256,832;-78,1083;NULL
2018-05-21 07:48:32.0;NO;-268,8417;-139,4383;24,796846;-256,832;-78,1083;NULL
2018-05-21 07:48:52.0;NO;-269,2783;-137,485;24,172384;-256,832;-78,1083;NULL
2018-05-21 07:49:12.0;NO;-269,6483;-135,6866;10,252649;-256,832;-78,1083;NULL
2018-05-21 07:49:32.0;NO;-269,7667;-135,2466;14,160625;-256,832;-78,1083;NULL
2018-05-21 07:50:12.0;NO;-270,605;-130,4;51,82841;-256,832;-78,1083;NULL
2018-05-21 07:50:32.0;NO;-270,8667;-128,545;12,37248;-256,832;-78,1083;NULL
2018-05-21 07:50:52.0;NO;-271,145;-126,4133;47,614685;-256,832;-78,1083;NULL
2018-05-21 07:51:12.0;NO;-271,3033;-125,1116;0;-256,832;-78,1083;NULL
2018-05-21 07:51:32.0;NO;-271,505;-123,7266;44,481262;-256,832;-78,1083;NULL
2018-05-21 07:51:52.0;NO;-272,2533;-119,8116;70,72901;-256,832;-78,1083;NULL
2018-05-21 07:52:12.0;NO;-273,365;-116,455;44,888924;-256,832;-78,1083;NULL
2018-05-21 07:52:32.0;NO;-274,3;-113,6566;52,699318;-256,832;-78,1083;NULL
2018-05-21 07:52:52.0;NO;-274,99;-111,6683;0;-256,832;-78,1083;NULL
2018-05-21 07:53:12.0;NO;-275,0383;-111,5233;10,85858;-256,832;-78,1083;NULL
